DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
0610009B22Rik	3	3	5	11	4	6	2	10	4	16	7	22	3	14	3	6	3	9	18	6	11	6	6	5	3	7	4	17	9	5	5	8
Sanbr	5	3	1	5	6	5	3	4	4	1	2	10	3	4	6	7	6	7	2	10	5	4	6	7	3	2	5	12	3	4	10	12
0610010K14Rik	1	7	3	11	3	7	9	11	5	10	5	14	2	6	7	4	8	9	14	3	14	7	3	10	4	7	7	9	10	9	14	19
0610012G03Rik	4	3	5	13	3	8	6	10	1	10	3	14	3	13	2	12	18	14	17	15	12	17	4	10	14	14	14	23	22	18	22	34
0610030E20Rik	0	5	3	11	4	5	6	12	6	11	2	12	3	6	3	7	2	5	3	2	1	3	1	1	4	0	3	2	3	1	6	8
0610040J01Rik	5	11	6	8	7	6	5	11	8	17	9	16	3	12	3	7	0	4	3	2	1	4	2	1	2	2	2	3	0	1	3	1
1110002E22Rik	1	8	6	12	3	4	3	10	7	15	1	13	3	13	1	7	5	2	2	1	0	1	0	4	1	4	1	1	3	1	2	5
1110004F10Rik	5	9	3	14	3	10	0	22	6	14	12	10	7	20	2	7	14	16	13	10	7	14	5	13	6	17	17	19	20	8	11	21
Bbln	6	4	6	9	2	5	7	10	2	15	4	14	2	6	3	7	15	12	12	12	17	8	9	9	15	10	19	26	19	16	24	21
Eola1	8	9	6	10	4	7	5	15	4	14	3	13	4	11	5	11	3	4	9	6	3	8	3	6	4	7	7	5	0	4	2	4
1110017D15Rik	2	1	7	8	4	6	7	13	4	6	3	13	1	4	4	8	3	3	0	1	2	6	5	6	0	0	5	3	2	4	5	3
1110025L11Rik	2	5	7	3	2	5	3	10	6	23	4	7	0	6	0	1	1	4	2	4	1	3	1	1	2	3	5	5	3	5	5	2
1110032A03Rik	2	8	6	8	7	1	2	12	3	14	5	20	6	9	3	9	3	7	11	12	7	8	8	9	5	9	7	13	4	5	7	10
1110032F04Rik	4	8	9	9	3	4	5	11	7	4	1	20	3	13	5	5	6	2	5	0	8	3	1	3	3	2	2	6	5	2	2	7
1110038F14Rik	1	6	1	18	0	11	7	12	6	8	4	14	3	7	4	11	2	3	2	3	1	4	1	3	4	3	3	3	0	4	2	9
1110051M20Rik	8	9	9	30	1	7	3	13	3	13	2	17	3	15	4	9	28	31	21	26	17	33	11	16	12	26	20	36	17	27	24	47
1110059E24Rik	4	5	1	11	1	8	6	12	4	13	5	14	2	9	4	10	9	7	7	10	13	14	3	10	4	10	7	8	4	10	5	25
1110059G10Rik	2	10	7	15	6	4	4	8	7	18	5	11	2	10	2	6	3	5	11	7	2	6	1	3	7	7	2	10	3	7	9	8
1110065P20Rik	3	8	9	18	1	9	13	15	7	30	7	23	4	24	8	21	26	17	22	19	11	19	10	15	6	14	11	20	11	18	16	37
1190007I07Rik	5	12	5	12	4	12	8	14	4	20	5	14	1	5	4	10	5	10	6	19	9	15	5	13	4	2	8	26	15	14	8	38
1300017J02Rik	2	9	2	12	4	9	9	10	4	11	6	16	5	11	4	6	0	1	3	1	3	3	1	3	3	1	3	7	2	1	1	5
1500009C09Rik	1	1	4	11	4	5	4	5	3	5	4	7	2	3	2	9	41	45	25	40	37	43	21	33	24	31	38	55	45	33	52	55
1500009L16Rik	3	5	0	10	6	8	5	12	6	7	7	16	4	5	2	8	9	4	4	3	3	8	3	3	2	4	6	6	4	7	5	10
1520401A03Rik	4	11	6	14	2	9	10	17	7	7	5	20	5	10	4	9	11	11	18	14	7	17	4	14	8	11	9	19	15	7	11	28
1600012H06Rik	2	10	5	14	2	6	7	10	3	10	6	15	4	8	0	8	2	8	2	7	1	3	0	0	5	4	2	8	4	7	0	5
1600014C10Rik	3	8	8	14	1	6	7	11	7	11	6	17	3	9	8	9	6	8	7	11	7	7	7	12	5	5	8	9	6	7	8	18
1600014C23Rik	5	4	5	7	2	6	9	8	5	11	4	9	5	6	5	6	2	1	5	1	3	2	2	4	0	2	4	5	3	0	0	6
1700001C19Rik	6	7	11	12	4	10	6	14	7	18	4	10	4	16	4	10	3	2	4	4	6	1	4	0	4	2	5	3	6	0	10	3
1700001K19Rik	5	8	5	7	3	7	5	15	8	12	6	18	5	7	3	11	0	0	2	3	2	3	1	2	2	1	3	3	1	1	4	2
1700001L19Rik	3	7	1	8	4	3	5	9	7	10	4	13	9	13	2	8	0	2	1	1	0	3	0	3	0	5	1	1	0	0	3	4
1700001O22Rik	0	6	1	4	4	5	2	8	3	9	1	20	3	6	2	3	0	1	2	2	2	2	1	2	1	1	3	2	1	0	3	3
1700001P01Rik	4	6	2	11	5	7	5	15	3	17	4	11	2	14	2	7	4	4	1	1	3	2	3	0	1	4	2	2	2	0	1	5
1700003E16Rik	2	11	2	14	8	8	5	9	4	16	9	15	0	10	3	6	3	2	4	6	1	8	2	6	2	3	6	5	4	4	7	3
1700003F12Rik	4	10	4	12	4	5	11	10	2	13	1	13	4	10	3	11	1	3	6	2	2	2	2	3	2	0	2	2	2	2	1	4
1700003H04Rik	2	4	11	9	1	5	3	8	4	13	2	9	2	4	2	8	1	0	5	5	0	0	4	3	2	1	3	4	5	1	3	4
1700006A11Rik	2	6	6	11	2	6	6	7	1	8	3	14	4	11	1	5	1	1	0	2	0	2	0	1	1	2	2	6	5	0	1	3
1700007K13Rik	2	8	4	13	4	4	8	16	5	10	1	13	0	10	3	9	0	2	4	2	1	6	1	4	4	4	2	3	4	2	3	3
1700008O03Rik	2	9	4	8	3	14	5	9	6	7	6	16	5	6	5	14	2	1	7	1	4	3	1	2	3	2	1	2	1	1	2	6
1700008P02Rik	3	1	4	6	2	5	2	8	4	6	2	7	1	5	2	2	0	1	2	2	3	2	0	4	2	3	1	2	1	1	1	2
1700009N14Rik	1	8	5	10	4	6	3	7	3	11	1	15	1	4	1	9	0	0	4	3	2	1	3	1	2	6	2	3	4	1	1	3
1700010B08Rik	2	5	4	6	1	7	7	5	5	12	6	13	4	4	1	6	2	2	3	2	0	0	0	1	1	0	1	2	0	2	0	2
1700010I14Rik	4	9	7	7	2	9	8	11	5	10	5	16	6	14	3	9	1	2	4	4	1	4	0	2	1	1	2	11	3	2	2	5
